Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Exchange
Grindwell Norton Ltd.,GRINDWELL,abrasives,Abrasives,21340.17,NSE
Carborundum Universal Ltd.,CARBORUNIV,abrasives,Abrasives,17528.59,NSE
Wendt (India) Ltd.,WENDT,abrasives,Abrasives,1707.8,NSE
Tata Consumer Products Ltd.,TATACONSUM,agriculture,Tea/Coffee,68904.79,NSE
Shree Renuka Sugars Ltd.,RENUKA,agriculture,Sugar,11419.35,NSE
E.I.D. - Parry (India) Ltd.,EIDPARRY,agriculture,Sugar,9639.21,NSE
Balrampur Chini Mills Ltd.,BALRAMCHIN,agriculture,Sugar,7873.44,NSE
CCL Products (India) Ltd.,CCL,agriculture,Tea/Coffee,7239.38,NSE
Triveni Engineering & Industries Ltd.,TRIVENI,agriculture,Sugar,6707.5,NSE
Bombay Burmah Trading Corporation Ltd.,BBTC,agriculture,Agriculture,6317.5,NSE
Gujarat Ambuja Exports Ltd.,GAEL,agriculture,Solvent  Extraction,5687.52,NSE
Bombay Super Hybrid Seeds Ltd.,BSHSL,agriculture,Agriculture,4504.96,NSE
Tata Coffee Ltd.,TATACOFFEE,agriculture,Tea/Coffee,4015.56,NSE
Bannari Amman Sugars Ltd.,BANARISUG,agriculture,Sugar,3481.21,NSE
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,agriculture,Sugar,2923.53,NSE
Kaveri Seed Company Ltd.,KSCL,agriculture,Agriculture,2840.83,NSE
Venky'S (India) Ltd.,VENKEYS,agriculture,Agriculture,2617.78,NSE
Apcotex Industries Ltd.,APCOTEXIND,agriculture,Rubber  Products,2339.76,NSE
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,agriculture,Sugar,1960.75,NSE
Dwarikesh Sugar Industries Ltd.,DWARKESH,agriculture,Sugar,1857.59,NSE
Dhampur Sugar Mills Ltd.,DHAMPURSUG,agriculture,Sugar,1515.96,NSE
Andrew Yule & Company Ltd.,ANDREWYU,agriculture,Tea/Coffee,1278.61,NSE
Dhampur Bio Organics Ltd.,DBOL,agriculture,Sugar,1219.54,NSE
Rossell India Ltd.,ROSSELLIND,agriculture,Tea/Coffee,1202.52,NSE
Manorama Industries Ltd.,MANORAMA,agriculture,Solvent  Extraction,1153.9,NSE
The Ugar Sugar Works Ltd.,UGARSUGAR,agriculture,Sugar,1127.25,NSE
Uttam Sugar Mills Ltd.,UTTAMSUGAR,agriculture,Sugar,1067.87,NSE
Pix Transmissions Ltd.,PIXTRANS,agriculture,Rubber  Products,1043.49,NSE
Avadh Sugar & Energy Ltd.,AVADHSUGAR,agriculture,Sugar,994.72,NSE
Apex Frozen Foods Ltd.,APEX,agriculture,Aquaculture,764.53,NSE
DCM Shriram Industries Ltd.,DCMSRIND,agriculture,Sugar,638.09,NSE
Mangalam Global Enterprise Ltd.,MGEL,agriculture,Agriculture,468.32,NSE
Magadh Sugar & Energy Ltd.,MAGADSUGAR,agriculture,Sugar,452.13,NSE
Ponni Sugars (Erode) Ltd.,PONNIERODE,agriculture,Sugar,419.95,NSE
Shree Oswal Seeds and Chemicals Ltd.,OSWALSEEDS,agriculture,Agriculture,409.63,NSE
Rana Sugars Ltd.,RANASUG,agriculture,Sugar,367.79,NSE
Mawana Sugars Ltd.,MAWANASUG,agriculture,Sugar,357.72,NSE
Cupid Ltd.,CUPID,agriculture,Rubber  Products,357.46,NSE
Kothari Sugars And Chemicals Ltd.,KOTARISUG,agriculture,Sugar,341.5,NSE
GRP Ltd.,GRPLTD,agriculture,Rubber  Products,335.47,NSE
K.C.P. Sugar And Industries Corporation Ltd.,KCPSUGIND,agriculture,Sugar,322.01,NSE
Vishwaraj Sugar Industries Ltd.,VISHWARAJ,agriculture,Sugar,320.16,NSE
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,agriculture,Agriculture,304.35,NSE
Mcleod Russel India Ltd.,MCLEODRUSS,agriculture,Tea/Coffee,299.27,NSE
Jay Shree Tea & Industries Ltd.,JAYSREETEA,agriculture,Tea/Coffee,285.89,NSE
Sakthi Sugars Ltd.,SAKHTISUG,agriculture,Sugar,272.16,NSE
K.M. Sugar Mills Ltd.,KMSUGAR,agriculture,Sugar,261.28,NSE
Harrisons Malayalam Ltd.,HARRMALAYA,agriculture,Agriculture,252.47,NSE
Dhunseri Tea & Industries Ltd.,DTIL,agriculture,Tea/Coffee,250.39,NSE
Ruchi Infrastructure Ltd.,RUCHINFRA,agriculture,Solvent  Extraction,232.74,NSE
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,agriculture,Sugar,177.28,NSE
Elgi Rubber Company Ltd.,ELGIRUBCO,agriculture,Rubber  Products,170.42,NSE
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEA,agriculture,Tea/Coffee,136.78,NSE
Shree Ram Proteins Ltd.,SRPL,agriculture,Solvent  Extraction,126.27,NSE
The Grob Tea Company Ltd.,GROBTEA,agriculture,Tea/Coffee,99.88,NSE
Simbhaoli Sugars Ltd.,SIMBHALS,agriculture,Sugar,98.86,NSE
The Peria Karamalai Tea And Produce Company Ltd.,PKTEA,agriculture,Tea/Coffee,72.13,NSE
Agri-Tech (India) Ltd.,AGRITECH,agriculture,Agriculture,65.93,NSE
Somi Conveyor Beltings Ltd.,SOMICONVEY,agriculture,Rubber  Products,48.18,NSE
Dharani Sugars & Chemicals Ltd.,DHARSUGAR,agriculture,Sugar,37.02,NSE
Narmada Agrobase Ltd.,NARMADA,agriculture,Agriculture,30.62,NSE
Khaitan (India) Ltd.,KHAITANLTD,agriculture,Sugar,24.37,NSE
Shanti Overseas (India) Ltd.,SHANTI,agriculture,Solvent  Extraction,23.6,NSE
Tijaria Polypipes Ltd.,TIJARIA,agriculture,Rubber  Products,22.07,NSE
Norben Tea & Exports Ltd.,NORBTEAEXP,agriculture,Tea/Coffee,13.87,NSE
United Spirits Ltd.,MCDOWELL_N,alcohol,Breweries & Distilleries,60394.25,NSE
United Breweries Ltd.,UBL,alcohol,Breweries & Distilleries,41835.5,NSE
Radico Khaitan Ltd.,RADICO,alcohol,Breweries & Distilleries,13925.46,NSE
Sula Vineyards Ltd.,SULA,alcohol,Breweries & Distilleries,3587.29,NSE
Globus Spirits Ltd.,GLOBUSSPR,alcohol,Breweries & Distilleries,2347.14,NSE
Tilaknagar Industries Ltd.,TI,alcohol,Breweries & Distilleries,2189.5,NSE
GM Breweries Ltd.,GMBREW,alcohol,Breweries & Distilleries,1083.13,NSE
Som Distilleries Breweries & Wineries Ltd.,SDBL,alcohol,Breweries & Distilleries,895.5,NSE
Associated Alcohols & Breweries Ltd.,ASALCBR,alcohol,Breweries & Distilleries,733.11,NSE
Ravi Kumar Distilleries Ltd.,RKDL,alcohol,Breweries & Distilleries,41.16,NSE
Maruti Suzuki India Ltd.,MARUTI,automobileancillaries,Automobiles - Passenger Cars,254263.81,NSE
Mahindra & Mahindra Ltd.,M_M,automobileancillaries,Automobiles - Passenger Cars,165151.91,NSE
Tata Motors Ltd.,TATAMOTORS,automobileancillaries,Automobiles-Trucks/Lcv,135642.75,NSE
Bajaj Auto Ltd.,BAJAJ_AUTO,automobileancillaries,Automobile Two & Three Wheelers,102542.33,NSE
Eicher Motors Ltd.,EICHERMOT,automobileancillaries,Automobile Two & Three Wheelers,87426.82,NSE
Hero MotoCorp Ltd.,HEROMOTOCO,automobileancillaries,Automobile Two & Three Wheelers,55411.98,NSE
Bosch Ltd.,BOSCHLTD,automobileancillaries,Auto Ancillary,49971.52,NSE
Tube Investments of India Ltd.,TIINDIA,automobileancillaries,Cycles,49872.33,NSE
Samvardhana Motherson International Ltd.,MOTHERSON,automobileancillaries,Auto Ancillary,49671.17,NSE
TVS Motor Company Ltd.,TVSMOTOR,automobileancillaries,Automobile Two & Three Wheelers,46646.43,NSE
Ashok Leyland Ltd.,ASHOKLEY,automobileancillaries,Automobiles-Trucks/Lcv,44206.6,NSE
Balkrishna Industries Ltd.,BALKRISIND,automobileancillaries,Tyres & Allied,43400.68,NSE
Schaeffler India Ltd.,SCHAEFFLER,automobileancillaries,Bearings,41452.51,NSE
Bharat Forge Ltd.,BHARATFORG,automobileancillaries,Forgings,40943.86,NSE
Cummins India Ltd.,CUMMINSIND,automobileancillaries,Diesel Engines,39700.58,NSE
MRF Ltd.,MRF,automobileancillaries,Tyres & Allied,38301.76,NSE
UNO Minda Ltd.,UNOMINDA,automobileancillaries,Auto Ancillary,29024.71,NSE
Escorts Kubota Ltd.,ESCORTS,automobileancillaries,Automobiles-Tractors,27716.1,NSE
Sona BLW Precision Forgings Ltd.,SONACOMS,automobileancillaries,Auto Ancillary,24439.39,NSE
Timken India Ltd.,TIMKEN,automobileancillaries,Bearings,23543.46,NSE
SKF India Ltd.,SKFINDIA,automobileancillaries,Bearings,22395.4,NSE
Sundram Fasteners Ltd.,SUNDRMFAST,automobileancillaries,Auto Ancillary,20595.73,NSE
Endurance Technologies Ltd.,ENDURANCE,automobileancillaries,Auto Ancillary,20107.75,NSE
Apollo Tyres Ltd.,APOLLOTYRE,automobileancillaries,Tyres & Allied,20062.84,NSE
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,automobileancillaries,Auto Ancillary,17067.7,NSE
Exide Industries Ltd.,EXIDEIND,automobileancillaries,Batteries,15669.75,NSE
Mahindra CIE Automotive Ltd.,MAHINDCIE,automobileancillaries,Forgings,13750.25,NSE
Castrol India Ltd.,CASTROLIND,automobileancillaries,Lubricants,11844.74,NSE
Amara Raja Batteries Ltd.,AMARAJABAT,automobileancillaries,Batteries,9816.59,NSE
Sundaram-Clayton Ltd.,SUNCLAYLTD,automobileancillaries,Auto Ancillary,9742.56,NSE
Tata Motors Ltd. - DVR Ordinary,TATAMTRDVR,automobileancillaries,Automobiles-Trucks/Lcv,8756.41,NSE
Ceat Ltd.,CEATLTD,automobileancillaries,Tyres & Allied,6484.96,NSE
JBM Auto Ltd.,JBMA,automobileancillaries,Auto Ancillary,6394.21,NSE
Minda Corporation Ltd.,MINDACORP,automobileancillaries,Auto Ancillary,5368.53,NSE
Maharashtra Scooters Ltd.,MAHSCOOTER,automobileancillaries,Auto Ancillary,5058.28,NSE
Kirloskar Ferrous Industries Ltd.,KIRLFER,automobileancillaries,Castings/Forgings,4954.98,NSE
Rolex Rings Ltd,ROLEXRINGS,automobileancillaries,Bearings,4789.79,NSE
Ramkrishna Forgings Ltd.,RKFORGE,automobileancillaries,Forgings,4508.88,NSE
Suprajit Engineering Ltd.,SUPRAJIT,automobileancillaries,Auto Ancillary,4504.64,NSE
Varroc Engineering Ltd.,VARROC,automobileancillaries,Auto Ancillary,4447.61,NSE
HMT Ltd.,HMT,automobileancillaries,Automobiles-Tractors,4292.59,NSE
Jupiter Wagons Ltd.,JWL,automobileancillaries,Auto Ancillary,4252.24,NSE
Jamna Auto Industries Ltd.,JAMNAAUTO,automobileancillaries,Auto Ancillary,4147.67,NSE
JK Tyre & Industries Ltd.,JKTYRE,automobileancillaries,Tyres & Allied,4145.3,NSE
Rajratan Global Wire Ltd.,RAJRATAN,automobileancillaries,Auto Ancillary,4040.86,NSE
Sansera Engineering Ltd.,SANSERA,automobileancillaries,Auto Ancillary,3855.98,NSE
Greaves Cotton Ltd.,GREAVESCOT,automobileancillaries,Diesel Engines,3394.71,NSE
JTEKT India Ltd.,JTEKTINDIA,automobileancillaries,Auto Ancillary,3377.5,NSE
Automotive Axles Ltd.,AUTOAXLES,automobileancillaries,Auto Ancillary,3251.72,NSE
HBL Power Systems Ltd.,HBLPOWER,automobileancillaries,Batteries,2787.2,NSE
Titagarh Wagons Ltd.,TWL,automobileancillaries,Railways Wagons,2769.86,NSE
TVS Srichakra Ltd.,TVSSRICHAK,automobileancillaries,Tyres & Allied,2716.53,NSE
Shanthi Gears Ltd.,SHANTIGEAR,automobileancillaries,Auto Ancillary,2657.44,NSE
Eveready Industries India Ltd.,EVEREADY,automobileancillaries,Batteries,2624.01,NSE
Gabriel India Ltd.,GABRIEL,automobileancillaries,Auto Ancillary,2612.17,NSE
Goodyear India Ltd.,GOODYEAR,automobileancillaries,Tyres & Allied,2491.18,NSE
Pricol Ltd.,PRICOLLTD,automobileancillaries,Auto Ancillary,2479.07,NSE
Steel Strips Wheels Ltd.,SSWL,automobileancillaries,Auto Ancillary,2321.87,NSE
Electrosteel Castings Ltd.,ELECTCAST,automobileancillaries,Castings/Forgings,2235.72,NSE
LG Balakrishnan & Bros Ltd.,LGBBROSLTD,automobileancillaries,Auto Ancillary,2191.19,NSE
Sharda Motor Industries Ltd.,SHARDAMOTR,automobileancillaries,Auto Ancillary,2182.3,NSE
Fiem Industries Ltd.,FIEMIND,automobileancillaries,Auto Ancillary,2165.65,NSE
CarTrade Tech Ltd.,CARTRADE,automobileancillaries,Automobiles - Dealers & Distributors,2165.05,NSE
MM Forgings Ltd.,MMFL,automobileancillaries,Forgings,2076.23,NSE
Savita Oil Technologies Ltd.,SOTL,automobileancillaries,Lubricants,2063.34,NSE
Gulf Oil Lubricants India Ltd.,GULFOILLUB,automobileancillaries,Lubricants,2055.53,NSE
Panama Petrochem Ltd.,PANAMAPET,automobileancillaries,Lubricants,2041.36,NSE
V.S.T. Tillers Tractors Ltd.,VSTTILLERS,automobileancillaries,Automobiles-Tractors,1986.23,NSE
Subros Ltd.,SUBROS,automobileancillaries,Auto Ancillary,1978.6,NSE
Swaraj Engines Ltd.,SWARAJENG,automobileancillaries,Diesel Engines,1977.12,NSE
Force Motors Ltd.,FORCEMOT,automobileancillaries,Automobiles-Trucks/Lcv,1955.23,NSE
Texmaco Rail & Engineering Ltd.,TEXRAIL,automobileancillaries,Railways Wagons,1931.22,NSE
Tide Water Oil Company (India) Ltd.,TIDEWATER,automobileancillaries,Lubricants,1725.93,NSE
Federal-Mogul Goetze (India) Ltd.,FMGOETZE,automobileancillaries,Auto Ancillary,1707.91,NSE
Lumax Industries Ltd.,LUMAXIND,automobileancillaries,Auto Ancillary,1668.57,NSE
Lumax Auto Technologies Ltd.,LUMAXTECH,automobileancillaries,Auto Ancillary,1581.94,NSE
GNA Axles Ltd.,GNA,automobileancillaries,Auto Ancillary,1543.36,NSE
Alicon Castalloy Ltd.,ALICON,automobileancillaries,Castings/Forgings,1457.48,NSE
NRB Bearings Ltd.,NRBBEARING,automobileancillaries,Bearings,1435.42,NSE
Sandhar Technologies Ltd.,SANDHAR,automobileancillaries,Auto Ancillary,1432.54,NSE
Banco Products (India) Ltd.,BANCOINDIA,automobileancillaries,Auto Ancillary,1423.22,NSE
Wheels India Ltd.,WHEELS,automobileancillaries,Auto Ancillary,1370.84,NSE
Sterling Tools Ltd.,STERTOOLS,automobileancillaries,Fasteners,1269.49,NSE
Rico Auto Industries Ltd.,RICOAUTO,automobileancillaries,Auto Ancillary,1256.12,NSE
SML Isuzu Ltd.,SMLISUZU,automobileancillaries,Automobiles-Trucks/Lcv,1135.45,NSE
Nelcast Ltd.,NELCAST,automobileancillaries,Castings/Forgings,1043.14,NSE
Precision Camshafts Ltd.,PRECAM,automobileancillaries,Auto Ancillary,1003.05,NSE
Steelcast Ltd.,STEELCAS,automobileancillaries,Castings/Forgings,978.4,NSE
India Nippon Electricals Ltd.,INDNIPPON,automobileancillaries,Auto Ancillary,846.04,NSE
Atul Auto Ltd.,ATULAUTO,automobileancillaries,Automobile Two & Three Wheelers,735.1,NSE
Jay Bharat Maruti Ltd.,JAYBARMARU,automobileancillaries,Auto Ancillary,675.7,NSE
Rane (Madras) Ltd.,RML,automobileancillaries,Auto Ancillary,671.35,NSE
Talbros Automotive Components Ltd.,TALBROAUTO,automobileancillaries,Auto Ancillary,620.0,NSE
Menon Bearings Ltd.,MENONBE,automobileancillaries,Bearings,570.21,NSE
Rane Brake Lining Ltd.,RBL,automobileancillaries,Auto Ancillary,565.87,NSE
Automotive Stampings and Assemblies Ltd.,ASAL,automobileancillaries,Auto Ancillary,553.67,NSE
Munjal Auto Industries Ltd.,MUNJALAU,automobileancillaries,Auto Ancillary,495.5,NSE
Man Industries (India) Ltd.,MANINDS,automobileancillaries,Castings/Forgings,491.64,NSE
The Hi-Tech Gears Ltd.,HITECHGEAR,automobileancillaries,Auto Ancillary,469.29,NSE
Hindustan Composites Ltd.,HINDCOMPOS,automobileancillaries,Auto Ancillary,448.9,NSE
Munjal Showa Ltd.,MUNJALSHOW,automobileancillaries,Auto Ancillary,388.55,NSE
Hindustan Motors Ltd.,HINDMOTORS,automobileancillaries,Automobiles - Passenger Cars,365.15,NSE
NDR Auto Components Ltd.,NDRAUTO,automobileancillaries,Auto Ancillary,362.73,NSE
PPAP Automotive Ltd.,PPAP,automobileancillaries,Auto Ancillary,336.0,NSE
Shivam Autotech Ltd.,SHIVAMAUTO,automobileancillaries,Auto Ancillary,335.5,NSE
Autoline Industries Ltd.,AUTOIND,automobileancillaries,Auto Ancillary,288.33,NSE
Indo-National Ltd.,NIPPOBATRY,automobileancillaries,Batteries,288.19,NSE
Sintercom India Ltd.,SINTERCOM,automobileancillaries,Auto Ancillary,286.43,NSE
Ucal Fuel Systems Ltd.,UCALFUEL,automobileancillaries,Auto Ancillary,280.18,NSE
LGB Forge Ltd.,LGBFORGE,automobileancillaries,Forgings,274.65,NSE
GP Petroleums Ltd.,GULFPETRO,automobileancillaries,Lubricants,214.9,NSE
Bharat Gears Ltd.,BHARATGEAR,automobileancillaries,Auto Ancillary,204.15,NSE
Synergy Green Industries Ltd.,SGIL,automobileancillaries,Castings/Forgings,188.64,NSE
Hilton Metal Forging Ltd.,HILTON,automobileancillaries,Forgings,186.06,NSE
Tirupati Forge Ltd.,TIRUPATIFL,automobileancillaries,Forgings,184.73,NSE
Rane Engine Valve Ltd.,RANEENGINE,automobileancillaries,Auto Ancillary,148.19,NSE
Setco Automotive Ltd.,SETCO,automobileancillaries,Auto Ancillary,141.93,NSE
Remsons Industries Ltd.,REMSONSIND,automobileancillaries,Auto Ancillary,134.26,NSE
Sundaram Brake Linings Ltd.,SUNDRMBRAK,automobileancillaries,Auto Ancillary,128.66,NSE
Omax Autos Ltd.,OMAXAUTO,automobileancillaries,Auto Ancillary,124.27,NSE
Kalyani Forge Ltd.,KALYANIFRG,automobileancillaries,Forgings,88.4,NSE
Birla Tyres Ltd.,BIRLATYRE,automobileancillaries,Tyres & Allied,56.61,NSE
NRB Industrial Bearings Ltd.,NIBL,automobileancillaries,Bearings,49.19,NSE
Ganga Forging Ltd.,GANGAFORGE,automobileancillaries,Forgings,46.09,NSE
Metalyst Forgings Ltd.,METALFORGE,automobileancillaries,Forgings,16.98,NSE
Lakshmi Precision Screws Ltd.,LAKPRE,automobileancillaries,Fasteners,6.07,NSE
Interglobe Aviation Ltd.,INDIGO,aviation,Airlines,81790.04,NSE
SpiceJet Ltd.,SPICEJET,aviation,Airlines,2205.76,NSE
Jet Airways (India) Ltd.,JETAIRWAYS,aviation,Airlines,853.68,NSE
Global Vectra Helicorp Ltd.,GLOBALVECT,aviation,Airlines,79.17,NSE
HDFC Bank Ltd.,HDFCBANK,banking,Bank - Private,933046.95,NSE
ICICI Bank Ltd.,ICICIBANK,banking,Bank - Private,608274.0,NSE
State Bank Of India,SBIN,banking,Bank - Public,535878.31,NSE
Kotak Mahindra Bank Ltd.,KOTAKBANK,banking,Bank - Private,354268.02,NSE
Axis Bank Ltd.,AXISBANK,banking,Bank - Private,286851.42,NSE
IndusInd Bank Ltd.,INDUSINDBK,banking,Bank - Private,93387.11,NSE
Bank Of Baroda,BANKBARODA,banking,Bank - Public,93368.94,NSE
Punjab National Bank,PNB,banking,Bank - Public,62542.57,NSE
IDBI Bank Ltd.,IDBI,banking,Bank - Private,59030.69,NSE
Canara Bank,CANBK,banking,Bank - Public,58605.48,NSE
Indian Overseas Bank,IOB,banking,Bank - Public,57179.8,NSE
Union Bank Of India,UNIONBANK,banking,Bank - Public,55703.19,NSE
Yes Bank Ltd.,YESBANK,banking,Bank - Private,52189.23,NSE
AU Small Finance Bank Ltd.,AUBANK,banking,Bank - Private,42726.76,NSE
Bandhan Bank Ltd.,BANDHANBNK,banking,Bank - Private,39980.9,NSE
IDFC First Bank Ltd.,IDFCFIRSTB,banking,Bank - Private,36994.97,NSE
UCO Bank,UCOBANK,banking,Bank - Public,36465.67,NSE
Bank Of India,BANKINDIA,banking,Bank - Public,35967.76,NSE
Indian Bank,INDIANB,banking,Bank - Public,35656.98,NSE
The Federal Bank Ltd.,FEDERALBNK,banking,Bank - Private,28745.03,NSE
Central Bank Of India,CENTRALBK,banking,Bank - Public,26997.72,NSE
Punjab & Sind Bank,PSB,banking,Bank - Public,21078.92,NSE
Bank Of Maharashtra,MAHABANK,banking,Bank - Public,20763.58,NSE
City Union Bank Ltd.,CUB,banking,Bank - Private,11682.69,NSE
RBL Bank Ltd.,RBLBANK,banking,Bank - Private,10036.42,NSE
Karur Vysya Bank Ltd.,KARURVYSYA,banking,Bank - Private,8695.21,NSE
Tamilnad Mercantile Bank Ltd.,TMB,banking,Bank - Private,7613.54,NSE
Equitas Small Finance Bank Ltd.,EQUITASBNK,banking,Bank - Private,7064.0,NSE
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,banking,Bank - Private,5541.02,NSE
The Jammu & Kashmir Bank Ltd.,J_KBANK,banking,Bank - Private,5225.64,NSE
The Karnataka Bank Ltd.,KTKBANK,banking,Bank - Private,4636.28,NSE
CSB Bank Ltd.,CSBBANK,banking,Bank - Private,4410.01,NSE
DCB Bank Ltd.,DCBBANK,banking,Bank - Private,3826.3,NSE
The South Indian Bank Ltd.,SOUTHBANK,banking,Bank - Private,3798.32,NSE
Fino Payments Bank Ltd.,FINOPB,banking,Bank - Private,2121.96,NSE
Suryoday Small Finance Bank Ltd.,SURYODAY,banking,Bank - Private,1152.88,NSE
Dhanlaxmi Bank Ltd.,DHANBANK,banking,Bank - Private,476.93,NSE
Siemens Ltd.,SIEMENS,capitalgoods,Electric Equipment,108919.38,NSE
Havells India Ltd.,HAVELLS,capitalgoods,Electric Equipment,75168.64,NSE
Bharat Electronics Ltd.,BEL,capitalgoods,Engineering - Industrial Equipments,74230.8,NSE
ABB India Ltd.,ABB,capitalgoods,Electric Equipment,62411.25,NSE
CG Power and Industrial Solutions Ltd.,CGPOWER,capitalgoods,Electric Equipment,46377.92,NSE
Bharat Heavy Electricals Ltd.,BHEL,capitalgoods,Engineering - Industrial Equipments,27943.56,NSE
Thermax Ltd.,THERMAX,capitalgoods,Engineering - Industrial Equipments,23407.66,NSE
AIA Engineering Ltd.,AIAENG,capitalgoods,Engineering - Industrial Equipments,23136.79,NSE
RHI Magnesita India Ltd.,RHIM,capitalgoods,Refractories,16068.05,NSE
Hitachi Energy India Ltd.,POWERINDIA,capitalgoods,Electric Equipment,13447.49,NSE
Suzlon Energy Ltd.,SUZLON,capitalgoods,Electric Equipment,12161.26,NSE
Elgi Equipments Ltd.,ELGIEQUIP,capitalgoods,Compressors / Pumps,11912.61,NSE
V-Guard Industries Ltd.,VGUARD,capitalgoods,Electric Equipment,10867.23,NSE
Triveni Turbine Ltd.,TRITURBINE,capitalgoods,Engineering - Industrial Equipments,8894.13,NSE
Rites Ltd.,RITES,capitalgoods,Engineering,8376.92,NSE
Graphite India Ltd.,GRAPHITE,capitalgoods,Electrodes & Welding Equipment,7140.98,NSE
Craftsman Automation Ltd.,CRAFTSMAN,capitalgoods,Engineering - Industrial Equipments,7078.62,NSE
GMM Pfaudler Ltd.,GMMPFAUDLR,capitalgoods,Engineering - Industrial Equipments,7035.81,NSE
Ingersoll-Rand (India) Ltd.,INGERRAND,capitalgoods,Compressors / Pumps,6470.34,NSE
BEML Ltd.,BEML,capitalgoods,Engineering - Industrial Equipments,6306.85,NSE
KSB Ltd.,KSB,capitalgoods,Engineering - Industrial Equipments,6272.37,NSE
Praj Industries Ltd.,PRAJIND,capitalgoods,Engineering - Industrial Equipments,6188.38,NSE
Apar Industries Ltd.,APARINDS,capitalgoods,Electric Equipment,6038.79,NSE
Esab India Ltd.,ESABINDIA,capitalgoods,Electrodes & Welding Equipment,5926.31,NSE
MTAR Technologies Ltd.,MTARTECH,capitalgoods,Engineering,5169.46,NSE
Kennametal India Ltd.,KENNAMET,capitalgoods,Engineering,5030.82,NSE
Engineers India Ltd.,ENGINERSIN,capitalgoods,Engineering,4996.56,NSE
Kirloskar Oil Engines Ltd.,KIRLOSENG,capitalgoods,Engineering - Industrial Equipments,4762.23,NSE
Schneider Electric Infrastructure Ltd.,SCHNEIDER,capitalgoods,Electric Equipment,4586.02,NSE
Elecon Engineering Company Ltd.,ELECON,capitalgoods,Engineering - Industrial Equipments,4347.19,NSE
Nesco Ltd.,NESCO,capitalgoods,Engineering - Industrial Equipments,4205.05,NSE
HLE Glascoat Ltd.,HLEGLAS,capitalgoods,Engineering - Industrial Equipments,4164.19,NSE
HEG Ltd.,HEG,capitalgoods,Electrodes & Welding Equipment,4101.74,NSE
Action Construction Equipment Ltd.,ACE,capitalgoods,Engineering - Industrial Equipments,3947.01,NSE
Ion Exchange (India) Ltd.,IONEXCHANG,capitalgoods,Engineering - Industrial Equipments,3888.94,NSE
Tega Industries Ltd.,TEGA,capitalgoods,Engineering - Industrial Equipments,3888.42,NSE
Harsha Engineers International Ltd.,HARSHA,capitalgoods,Engineering - Industrial Equipments,3606.26,NSE
ISGEC Heavy Engineering Ltd.,ISGEC,capitalgoods,Engineering - Industrial Equipments,3306.25,NSE
Vesuvius India Ltd.,VESUVIUS,capitalgoods,Refractories,3239.76,NSE
Inox Wind Ltd.,INOXWIND,capitalgoods,Electric Equipment,3046.9,NSE
GE T&D India Ltd.,GET_D,capitalgoods,Electric Equipment,2991.9,NSE
Shriram Pistons & Rings Ltd,SHRIPISTON,capitalgoods,Engineering - Industrial Equipments,2676.58,NSE
Voltamp Transformers Ltd.,VOLTAMP,capitalgoods,Electric Equipment,2511.22,NSE
Kirloskar Brothers Ltd.,KIRLOSBROS,capitalgoods,Engineering - Industrial Equipments,2505.35,NSE
Uniparts India Ltd.,UNIPARTS,capitalgoods,Engineering - Industrial Equipments,2456.4,NSE
Lloyds Steels Industries Ltd.,LSIL,capitalgoods,Engineering - Industrial Equipments,2377.82,NSE
Genus Power Infrastructures Ltd.,GENUSPOWER,capitalgoods,Engineering - Industrial Equipments,2368.59,NSE
Honda India Power Products Ltd.,HONDAPOWER,capitalgoods,Electric Equipment,2213.12,NSE
TD Power Systems Ltd.,TDPOWERSYS,capitalgoods,Electric Equipment,2083.17,NSE
Kirloskar Industries Ltd.,KIRLOSIND,capitalgoods,Engineering - Industrial Equipments,1944.11,NSE
Kabra Extrusiontechnik Ltd.,KABRAEXTRU,capitalgoods,Engineering - Industrial Equipments,1870.52,NSE
Dynamatic Technologies Ltd.,DYNAMATECH,capitalgoods,Compressors / Pumps,1607.24,NSE
Salasar Techno Engineering Ltd.,SALASAR,capitalgoods,Engineering - Industrial Equipments,1559.58,NSE
KPI Green Energy Ltd.,KPIGREEN,capitalgoods,Engineering - Industrial Equipments,1540.57,NSE
Bharat Bijlee Ltd.,BBL,capitalgoods,Electric Equipment,1522.45,NSE
Sanghvi Movers Ltd.,SANGHVIMOV,capitalgoods,Engineering - Industrial Equipments,1480.45,NSE
Inox Green Energy Services Ltd.,INOXGREEN,capitalgoods,Engineering,1477.21,NSE
Igarashi Motors India Ltd.,IGARASHI,capitalgoods,Electric Equipment,1283.71,NSE
Skipper Ltd.,SKIPPER,capitalgoods,Engineering - Industrial Equipments,1189.43,NSE
Ador Welding Ltd.,ADORWELD,capitalgoods,Electrodes & Welding Equipment,1093.86,NSE
Elin Electronics Ltd.,ELIN,capitalgoods,Engineering - Industrial Equipments,1081.58,NSE
Everest Kanto Cylinder Ltd.,EKC,capitalgoods,Engineering - Industrial Equipments,1055.31,NSE
