pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6951,EQ,nse_cm,,LINC,LINC-EQ,,LINC,INE802B01019,,,,LINC LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1110326400,,1110326400,0,0,1377129600,1377648000,0,518.85-778.25,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,154181,1,0,77825,51885,1,1,1,0,0,1,0,1.48723e+07,0,0,154181
6952,BL,nse_cm,,TARSONS,TARSONS-BL,,TARSONS-BL,INE144Z01023,,,,TARSONS PRODUCTS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1322352000,,1322352000,0,0,1373241600,1373760000,0,521.45-531.95,0,0,1378055676,,,,,,,,,,CASH,,,,,200,,,,,,,,T+1,315513000,0,1,0,1,0,53195,52145,1,1,1,0,0,1,0,5.32063e+07,0,0,99999999
6954,BL,nse_cm,,LINC,LINC-BL,,LINC-BL,INE802B01019,,,,LINC LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1110326400,,1110326400,0,0,1377129600,1377648000,0,642.10-655.00,0,0,1378055676,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,65500,64210,1,1,1,0,0,1,0,1.48723e+07,0,0,99999999
13800,BL,nse_cm,,MANALIPETC,MANALIPETC-BL,,MANALIPETC-BL,INE201A01024,,,,MANALI PETROCHEMICALS LT,,,5,1,-1,-1,2,-1,NSE,,,849830400,,849830400,0,0,1348012800,1348790400,0,67.45-68.75,0,0,1378055684,,,,,,,,,,CASH,,,,,500,,,,,,,,T+1,315513000,0,1,0,1,0,6875,6745,1,1,1,0,0,1,0,1.71999e+08,0,0,99999999
13801,EQ,nse_cm,,SUTLEJTEX,SUTLEJTEX-EQ,,SUTLEJTEX,INE645H01027,,,,SUTLEJ TEXT & INDUS LTD,,,5,1,-1,-1,2,-1,NSE,,,850521600,,850521600,0,0,0,0,1376784000,45.85-68.75,0,0,1378058543,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,1745102,1,0,6875,4585,1,1,1,0,0,1,0,1.63829e+08,0,0,1745102
13805,BL,nse_cm,,SUTLEJTEX,SUTLEJTEX-BL,,SUTLEJTEX-BL,INE645H01027,,,,SUTLEJ TEXT & INDUS LTD,,,5,1,-1,-1,2,-1,NSE,,,850521600,,850521600,0,0,0,0,1376784000,56.75-57.85,0,0,1378055684,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,5785,5675,1,1,1,0,0,1,0,1.63829e+08,0,0,99999999
13806,BL,nse_cm,,FLUOROCHEM,FLUOROCHEM-BL,,FLUOROCHEM-BL,INE09N301011,,,,GUJARAT FLUOROCHEM LTD,,,5,1,-1,-1,2,-1,NSE,,,1255651200,,1255651200,0,0,0,0,1351728000,3042.85-3104.25,0,0,1378055684,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,310425,304285,1,1,1,0,0,1,0,1.0985e+08,0,0,99999999
6961,EQ,nse_cm,,MENONBE,MENONBE-EQ,,MENONBE,INE071D01033,,,,MENON BEARINGS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1110326400,,1110326400,0,0,0,0,1374624000,123.15-184.65,0,0,1378058543,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,649727,1,0,18465,12315,1,1,1,0,0,1,0,5.604e+07,0,0,649727
6962,GS,nse_cm,,456GS2023,456GS2023-GS,,456GS2023-GS,IN0020210210,,,,GOI LOAN  4.56% 2023,,,1,1,-1,-1,2,-1,NSE,,,1322697600,,1322697600,0,0,0,0,1369526400,95.95-106.05,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,990000,1,0,10605,9595,1,1,1,0,0,1,0,2e+08,0,0,990000
6964,EQ,nse_cm,,GOCOLORS,GOCOLORS-EQ,,GOCOLORS,INE0BJS01011,,,,GO FASHION INDIA LTD,,,5,1,-1,-1,2,-1,NSE,,,1322697600,,1322697600,0,0,1377820800,1378339200,0,1082.00-1623.00,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,3.50,12.28,,,T+1,315513000,0,1,73884,1,0,162300,108200,1,1,1,0,0,1,0,5.4009e+07,0,0,73884
